Word Number,Word in Bangla
W108,গ্রহীতা
W109,গুরু
W110,হাফপযান্ট
W111,জমজ
W112,জতু া
W113,কাজল
W114,কাগ্ননর দুল
W115,যলযপযিক
W116,লুযঙ্গ
W117,বমকআপ
W118,মাযলক
W119,বমগ্নহদী
W120,বমহমান
W121,বমাজা
W122,বনইলপযলশ
W123,ও়িনা
W124,অযভভাবক
W125,পায়জামা
W126,পািাযব
W127,পযান্ট
W128,পাওনাদার
W129,বপটটগ্নকাট
W130,পারযফউম
W131,পগ্নকট
W132,পাউডার
W133,বেযমক
W134,বেযমকা
W135,েযতগ্নবশী
W136,রূপা
W137,সযানগ্নডল
W138,শযামপু
W139,শায়ি
W140,বশভ
W141,শাটট
W142,বশরওয়াযন
W143,যশষ্য
W144,শুভাকাঙ্ক্ষী
W145,সহকমী
W146,সহপাঠী
W147,সমবয়সী
W148,সম্পকট
W149,বসানা
W150,শত্রু
W151,বছাগ্নয়টার
W152,টাই
W153,টটপ
W154,ভা়িাগ্নট
W155,আেঁচল
W156,আলনা
W157,আগ্নলা
W158,বযাগ
W159,বাযলশ
W160,বােঁযশ
W161,বাথ্রুম
W162,বাটট
W163,যবছা
W164,যবছানা
W165,বক্স
W166,বেসগ্নলট
W167,বাল্ব
W168,বচয়ার
W169,চামচ
W170,ছাতা
W171,চুগ্নলর বযান্ড
W172,বকাট
W173,কাপ
W174,ধুযত
W175,দরজা
W176,ফযান
W177,হুক
W178,জযাগ্নকট
W179,জানালা
W180,জাঙযগয়া
W181,স্তজন্স
W182,জাযস ট
W183,ঝু য়ি
W184,কােঁযচ
W185,কাযমজ
W186,কােঁটাচামচ
W187,বখােঁপা
W188,বখােঁপার কােঁটা
W189,খ়িম
W190,লগ্নকট
W191,মাফলার
W192,বমা়িা
W193,মশায়ি
W194,নাকফু ল
W195,নাইটট
W196,বনালক
W197,নুপুর
W198,পাগয়ি
W199,বেট
W200,বরইনগ্নকাট
W201,সাগ্নলায়ার
W202,স্কাফট
W203,বসযমজ
W204,সানলাস
W205,সুতা
W206,বটযবল
W207,বটযলগ্নফান
W208,টাইযপন
W209,টটকযল
W210,টু থ্োস
W211,টু থ্গ্ন পি
W212,টটশাটট
W213,টটউবলাইট
W214,টটযভ
W215,এযস
W216,অযাপাটটগ্নমন্ট
W217,অযডও কযাগ্নসট
W218,আয়না
W219,বালযত
W220,বালু
W221,বব়িার ঘর
W222,ববযসন
W223,যবছানার চাদর
W224,বদনা
W225,বুকগ্নশল্ভ
W226,যেফগ্নকস
W227,কয লাং ববল
W228,কযাগ্নসট বেয়ার
W229,চাদ
W230,ছাকু যন
W231,চুলা
W232,দালান
W233,বদয়াল
W234,ইট
W235,এগ্নলাগ্নমগ্নলা
W236,যিজ
W237,িাই পযান
W238,ফু লদাযন
W239,গাযলচা
W240,গামছা
W241,ইযস্ত্র
W242,ঝা়িু
W243,জগ
W244,কােঁথ্া
W245,বকটযল
W246,কক্ খ
W247,কু য়া
W248,কু গ্ন়ি ঘর
W249,বলপ
W250,যলফট
W251,মাটটর ঘর
W252,বমগ্নঝ
W253,বমামবাযত
W254,মগ
W255,নলকু প
W256,পাযনর কল
W257,পদটা
W258,বেসার কু কার
W259,পুকু র
W260,বরযডও
W261,রুমাল
W262,সাবান
W263,সাজাগ্ননা
W264,যসগ্নমন্ট
W265,যসেঁয়ি
W266,বসাফা
W267,সুটগ্নকস
W268,সুইস
W269,বটযবল লযাম্প
W270,টটগ্ননর ঘর
W271,টচটলাইট
W272,উপকরণ
W273,বারান্দা
W274,ওয়াযশাং বমযশন
W275,এযাসগ্নে
W276,বব্লন্ডার
W277,বটট
W278,চাকু
W279,যচমযন
W280,যছটযকযন
W281,দা
W282,যদয়াশলাই
W283,যডটারগ্নজন্ট পাউডার
W284,দয়ি
W285,যগ্রল
W286,হযাঙ্গার
W287,হাযরগ্নকন
W288,কম্বল
W289,কগ্নমাড
W290,করাত
W291,মাইগ্নিাওগ্নয়ভ ওগ্নভন
W292,পাগ্নপাস
W293,বপগ্নরক
W294,রামদা
W295,স্িু
W296,টযাাংযক
W297,তার
W298,টব
W299,টয়গ্নলট টটসুয
W300,উঠান
W301,আলকাতরা
W302,বােঁশ
W303,ববলুযন
W304,বটল
W305,বয়াম
W306,ছাউনী
W307,ছয়ি
W308,চুন
W309,ঢাকনা
W310,বদালনা
W311,বঢাল
W312,ড্রয়ার
W313,ফাইল
W314,ফ্লাস্ক
W315,বফাম
W316,বফাল্ডার
W317,গামলা
W318,ঘগ্নরর খুেঁটট
W319,গযদ
W320,বগায়াল ঘর
W321,হামান যদো
W322,হােঁয়ি
W323,হাতু য়ি
W324,ঝু ল ঝা়িু
W325,জতু ার তাক
W326,কাগ্নে
W327,খ়ি
W328,খুযি
W329,বকাযকল
W330,কু শন
W331,লাইটার
W332,মাদুর
W333,মই
W334,যন়িাযন
W335,পাখা
W336,পান
W337,পাস্তচাং বমযশন
W338,যপন
W339,োযিক
W340,োগ
W341,োসাদ
W342,েদীপ
W343,বসচ
W344,বসলাই বমযশন
W345,শাওয়ার
W346,িযাপলার
W347,সুেঁই
W348,তাবু
W349,তাক
W350,টটযফন কযাযরয়ার
W351,এইডস
W352,বাত
W353,বযাগ্নন্ডজ
W354,কযাপসুল
W355,যচযকৎসা
W356,বচাখ ওঠা
W357,বডঙগু
W358,ডক্টর
W359,দাংশন
W360,দবূ লট
W361,বফােঁ়িা
W362,ঘামাযচ
W363,গলগণ্ড
W364,বহাযমওপযাযথ্
W365,হসযপটাল
W366,হৃদগ্নরাগ
W367,ইনগ্নজকশন
W368,স্তজবাণু
W369,যক্ষ্মা
W370,জস্তন্ডস
W371,জ্বর
W372,কাযশ
W373,ক্ষত
W374,স্তিযম
W375,মাস্ক
W376,মাথ্া বযাথ্া
W377,মযাগ্নলযরয়া
W378,মলম
W379,যনরাময়
W380,নাস ট
W381,অবস
W382,অগ্গান
W383,অযনদ্রা
W384,অপুটি
W385,অরুযচ
W386,অসস্তে
W387,অসুস্থ
W388,অগ্নস্ত্রাপচার
W389,ঔষ্ধ
W390,সযাভলন
W391,সুস্থ
W392,সাংিামক
W393,সযদট
W394,বিগ্নঠাগ্নস্কাপ
W395,টযাবগ্নলট
W396,থ্াগ্নম টাযমটার
W397,তু লা
W398,উম্মাদ
W399,ভাইরাস
W400,যভটাযমন
W401,এক্সগ্নর
