unified_id,word,variants,category,sources,media_count
46,কম্পিউটার,কম্পিউটার,প্রযুক্তি ও ইলেকট্রনিক্স,"BdSLW102, ishaara",5
47,মোবাইল,মোবাইল,,BdSLW102,0
48,ইন্টারনেট,ইন্টারনেট,যোগাযোগ ও তথ্য প্রযুক্তি,"BdSLW102, ishaara",5
49,বই,বই,শিক্ষা,"BdSLW102, ishaara",5
50,কলম,কলম,বিবিধ (সাধারণ),"BdSLW102, ishaara",5
51,বাতি,বাতি,,BdSLW102,0
52,পাখা,পাখা,বিবিধ (সাধারণ),"BdSLW102, BdSLW401, ishaara",5
53,টেলিভিশন,টেলিভিশন,,BdSLW102,0
54,ক্রিকেট,ক্রিকেট,বিবিধ (সাধারণ),"BdSLW102, ishaara",5
55,ফুটবল,ফুটবল,খেলাধুলা ও বিনোদন,"BdSLW102, ishaara",5
56,হাঁটা,হাঁটা,ক্রিয়া ও অবস্থা,"BdSLW102, ishaara",5
57,কথা বলা,কথা বলা,ক্রিয়া ও অবস্থা,"BdSLW102, ishaara",5
58,ঘুমানো,ঘুমানো,ক্রিয়া ও অবস্থা,"BdSLW102, ishaara",5
59,আসা,আসা,,BdSLW102,0
60,যাওয়া,যাওয়া,,BdSLW102,0
61,দেখা,দেখা,,BdSLW102,0
62,বিভাগ,বিভাগ,সাধারণ প্রশাসন ও সামাজিক,"BdSLW102, ishaara",5
63,ঢাকা,ঢাকা,বাংলাদেশের স্থান,"BdSLW102, ishaara",5
64,চট্টগ্রাম,চট্টগ্রাম,প্রকৃতি ও পরিবেশ,"BdSLW102, ishaara",5
65,সিলেট,সিলেট,বিবিধ (সাধারণ),"BdSLW102, ishaara",5
66,খুলনা,খুলনা,বাংলাদেশের স্থান,"BdSLW102, ishaara",5
67,রাজশাহী,রাজশাহী,বাংলাদেশের স্থান,"BdSLW102, ishaara",5
68,রংপুর,রংপুর,বাংলাদেশের স্থান,"BdSLW102, ishaara",5
69,ময়মনসিংহ,ময়মনসিংহ,,BdSLW102,0
70,দিন,দিন,,BdSLW102,0
71,শনিবার,শনিবার,সপ্তাহের দিন,"BdSLW102, ishaara",5
72,রবিবার,রবিবার,সপ্তাহের দিন,"BdSLW102, ishaara",5
73,সোমবার,সোমবার,সপ্তাহের দিন,"BdSLW102, ishaara",5
74,মঙ্গলবার,মঙ্গলবার,সপ্তাহের দিন,"BdSLW102, ishaara",5
75,বুধবার,বুধবার,সপ্তাহের দিন,"BdSLW102, ishaara",5
76,বৃহস্পতিবার,বৃহস্পতিবার,সপ্তাহের দিন,"BdSLW102, ishaara",5
77,শুক্রবার,শুক্রবার,সপ্তাহের দিন,"BdSLW102, ishaara",5
78,পেশা,পেশা,,BdSLW102,0
79,গৃহিণী,গৃহিণী,পেশা ও জীবিকা,"BdSLW102, ishaara",5
80,স্যার,স্যার,,BdSLW102,0
81,ম্যাডাম,ম্যাডাম,শিক্ষা,"BdSLW102, ishaara",5
82,ডাক্তার,ডাক্তার,স্বাস্থ্য ও চিকিৎসা,"BdSLW102, ishaara",5
83,শ্রমিক,শ্রমিক,সাধারণ প্রশাসন ও সামাজিক,"BdSLW102, ishaara",5
84,উকিল,উকিল,পেশা ও জীবিকা,"BdSLW102, ishaara",5
85,পুলিশ,পুলিশ,সাধারণ প্রশাসন ও সামাজিক,"BdSLW102, ishaara",5
86,সাংবাদিক,সাংবাদিক,পেশা ও জীবিকা,"BdSLW102, ishaara",5
87,প্রকৌশলী,প্রকৌশলী,পেশা ও জীবিকা,"BdSLW102, ishaara",5
88,বাংলা,বাংলা,বিবিধ (সাধারণ),"BdSLW102, ishaara",5
89,ইশারা,ইশারা,,BdSLW102,0
90,ভাষা,ভাষা,আইন ও অপরাধ,"BdSLW102, ishaara",5
91,আমি,আমি,সর্বনাম ও সাধারণ কথ্য শব্দ,"BdSLW102, ishaara",5
92,তুমি,তুমি / আপনি,সর্বনাম ও সাধারণ কথ্য শব্দ,"BdSLW102, ishaara",10
93,আমার,আমার,সর্বনাম ও সাধারণ কথ্য শব্দ,"BdSLW102, ishaara",5
94,আমাদের,আমাদের,সর্বনাম ও সাধারণ কথ্য শব্দ,"BdSLW102, ishaara",5
95,হাজার,হাজার,সাধারণ প্রশাসন ও সামাজিক,"BdSLW102, ishaara",5
96,লাখ,লাখ,সাধারণ প্রশাসন ও সামাজিক,"BdSLW102, ishaara",5
97,ছেলে,ছেলে,সর্বনাম ও সাধারণ কথ্য শব্দ,"BdSLW102, ishaara",5
98,মেয়ে,মেয়ে,,BdSLW102,0
99,রোজা,রোজা,ধর্ম,"BdSLW102, ishaara",5
100,ঈদ,ঈদ,ধর্ম,"BdSLW102, ishaara",5
101,কোরবানির ঈদ,কোরবানির ঈদ,,BdSLW102,0
102,আত্মীয়,আত্মীয়,,BdSLW401,0
103,ববান,ববান,,BdSLW401,0
104,ববৌ,ববৌ,,BdSLW401,0
105,চাচী,চাচী,পারিবারিক সম্পর্ক,"BdSLW401, ishaara",5
106,দাদা,দাদা / নানা,পারিবারিক সম্পর্ক,"BdSLW401, ishaara",10
107,দাদী,দাদী / নানী,পারিবারিক সম্পর্ক,"BdSLW401, ishaara",10
108,দাযয়ত্ব,দাযয়ত্ব,,BdSLW401,0
109,বদবর,বদবর,,BdSLW401,0
110,দুলাভাই,দুলাভাই,পারিবারিক সম্পর্ক,"BdSLW401, ishaara",5
111,ফু ফা,ফু ফা,,BdSLW401,0
112,ফু ফু,ফু ফু,,BdSLW401,0
113,জামাই,জামাই,পারিবারিক সম্পর্ক,"BdSLW401, ishaara",5
114,খালু,খালু,,BdSLW401,0
115,কনযা,কনযা,,BdSLW401,0
116,মামী,মামী,,BdSLW401,0
117,ননদ,ননদ,পারিবারিক সম্পর্ক,"BdSLW401, ishaara",5
118,পযরবার,পযরবার,,BdSLW401,0
119,পুত্র,পুত্র,,BdSLW401,0
120,শ্বাশুয়ি,শ্বাশুয়ি,,BdSLW401,0
121,শ্বশুর,শ্বশুর,,BdSLW401,0
122,সতীন,সতীন,,BdSLW401,0
123,ভাবী,ভাবী,পারিবারিক সম্পর্ক,"BdSLW401, ishaara",5
124,ভাগ্নে,ভাগ্নে,,BdSLW401,0
125,ভাযে,ভাযে,,BdSLW401,0
126,ভায়রা,ভায়রা,,BdSLW401,0
127,ভাগ্নলা,ভাগ্নলা,,BdSLW401,0
128,ভাস্তে,ভাস্তে,,BdSLW401,0
129,ভাসুর,ভাসুর,,BdSLW401,0
130,আলু,আলু,শাকসব্জি ও রান্নার উপকরণ,"BdSLW401, ishaara",5
131,আনারস,আনারস,ফল,"BdSLW401, ishaara",5
132,আগ্নপল,আগ্নপল,,BdSLW401,0
133,যবস্কু ট,যবস্কু ট,,BdSLW401,0
134,বরই,বরই,ফল,"BdSLW401, ishaara",5
135,বকক,বকক,,BdSLW401,0
136,চাল,চাল,খাদ্য ও পানীয় (সাধারণ),"BdSLW401, ishaara",5
137,যচযন,যচযন,,BdSLW401,0
138,যচপস,যচপস,,BdSLW401,0
139,চকগ্নলট,চকগ্নলট,,BdSLW401,0
140,যডম,যডম,,BdSLW401,0
141,যফডার,যফডার,,BdSLW401,0
142,ফল,ফল,বিবিধ (সাধারণ),"BdSLW401, ishaara",5
143,ফগ্নলর রস,ফগ্নলর রস,,BdSLW401,0
144,গাজর,গাজর,শাকসব্জি ও রান্নার উপকরণ,"BdSLW401, ishaara",5
145,গু়ি,গু়ি,,BdSLW401,0
146,আইস স্তিম,আইস স্তিম,,BdSLW401,0
147,ঝাল,ঝাল,বিবিধ (সাধারণ),"BdSLW401, ishaara",5
148,কাগ্নলাজাম,কাগ্নলাজাম,,BdSLW401,0
149,খাবার,খাবার,খাদ্য ও পানীয় (সাধারণ),"BdSLW401, ishaara",5
150,ব খজরু,ব খজরু,,BdSLW401,0
151,বলবু,বলবু,,BdSLW401,0
152,যলচু,যলচু,,BdSLW401,0
153,লবণ,লবণ,খাদ্য ও পানীয় (সাধারণ),"BdSLW401, ishaara",5
154,মাাংস,মাাংস,,BdSLW401,0
155,যমসটট,যমসটট,,BdSLW401,0
156,মযরচ,মযরচ,,BdSLW401,0
157,পান,পান,শাকসব্জি ও রান্নার উপকরণ,"BdSLW401, ishaara",5
158,বপয়ারা,বপয়ারা,,BdSLW401,0
159,বপালাও,বপালাও,,BdSLW401,0
160,রুটট,রুটট,,BdSLW401,0
161,সবস্তজ,সবস্তজ,,BdSLW401,0
162,সুপাযর,সুপাযর,,BdSLW401,0
163,তাল,তাল,ফল,"BdSLW401, ishaara",5
164,বতেঁ তু ল,বতেঁ তু ল,,BdSLW401,0
165,তরমুজ,তরমুজ,ফল,"BdSLW401, ishaara",5
166,আলতা,আলতা,সৌন্দর্য ও সাজসজ্জা,"BdSLW401, ishaara",5
167,আাংটট,আাংটট,,BdSLW401,0
168,আতর,আতর,সৌন্দর্য ও সাজসজ্জা,"BdSLW401, ishaara",5
169,বায়িওয়ালা,বায়িওয়ালা,,BdSLW401,0
170,ববল্ট,ববল্ট,,BdSLW401,0
171,রক্তপাত,রক্তপাত,স্বাস্থ্য ও চিকিৎসা,"BdSLW401, ishaara",5
172,ব্লাউজ,ব্লাউজ,পোশাক ও ফ্যাশন,"BdSLW401, ishaara",5
173,ববারখা,ববারখা,,BdSLW401,0
174,ববাতাম,ববাতাম,,BdSLW401,0
175,টুযপ,টুযপ,,BdSLW401,0
176,চাদর,চাদর,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
177,যচরুযন,যচরুযন,,BdSLW401,0
178,চশমা,চশমা,বিবিধ (সাধারণ),"BdSLW401, ishaara",5
179,চুয়ি,চুয়ি,,BdSLW401,0
180,যিপ,যিপ,,BdSLW401,0
181,স্তিম,স্তিম,,BdSLW401,0
182,তথ্য,তথ্য,সাধারণ প্রশাসন ও সামাজিক,"BdSLW401, ishaara",5
183,বদনাদার,বদনাদার,,BdSLW401,0
184,দত্তক,দত্তক,,BdSLW401,0
185,যফতা,যফতা,,BdSLW401,0
186,ফতু য়া,ফতু য়া,,BdSLW401,0
187,বগস্তি,বগস্তি,,BdSLW401,0
188,ঘয়ি,ঘয়ি,,BdSLW401,0
189,বলাভস,বলাভস,,BdSLW401,0
190,গলার হার,গলার হার,পোশাক ও ফ্যাশন,"BdSLW401, ishaara",5
191,গ্রহীতা,গ্রহীতা,,BdSLW401,0
192,গুরু,গুরু,বিবিধ (সাধারণ),"BdSLW401, ishaara",5
193,হাফপযান্ট,হাফপযান্ট,,BdSLW401,0
194,জমজ,জমজ,পারিবারিক সম্পর্ক,"BdSLW401, ishaara",5
195,জতু া,জতু া,,BdSLW401,0
196,কাজল,কাজল,সৌন্দর্য ও সাজসজ্জা,"BdSLW401, ishaara",5
197,কাগ্ননর দুল,কাগ্ননর দুল,,BdSLW401,0
198,যলযপযিক,যলযপযিক,,BdSLW401,0
199,লুযঙ্গ,লুযঙ্গ,,BdSLW401,0
200,বমকআপ,বমকআপ,,BdSLW401,0
201,মাযলক,মাযলক,,BdSLW401,0
202,বমগ্নহদী,বমগ্নহদী,,BdSLW401,0
203,বমহমান,বমহমান,,BdSLW401,0
204,বমাজা,বমাজা,,BdSLW401,0
205,বনইলপযলশ,বনইলপযলশ,,BdSLW401,0
206,ও়িনা,ও়িনা,,BdSLW401,0
207,অযভভাবক,অযভভাবক,,BdSLW401,0
208,পায়জামা,পায়জামা,,BdSLW401,0
209,পািাযব,পািাযব,,BdSLW401,0
210,পযান্ট,পযান্ট,,BdSLW401,0
211,পাওনাদার,পাওনাদার,,BdSLW401,0
212,বপটটগ্নকাট,বপটটগ্নকাট,,BdSLW401,0
213,পারযফউম,পারযফউম,,BdSLW401,0
214,পগ্নকট,পগ্নকট,,BdSLW401,0
215,পাউডার,পাউডার,,BdSLW401,0
216,বেযমক,বেযমক,,BdSLW401,0
217,বেযমকা,বেযমকা,,BdSLW401,0
218,েযতগ্নবশী,েযতগ্নবশী,,BdSLW401,0
219,রূপা,রূপা,সৌন্দর্য ও সাজসজ্জা,"BdSLW401, ishaara",5
220,সযানগ্নডল,সযানগ্নডল,,BdSLW401,0
221,শযামপু,শযামপু,,BdSLW401,0
222,শায়ি,শায়ি,,BdSLW401,0
223,বশভ,বশভ,,BdSLW401,0
224,শাটট,শাটট,,BdSLW401,0
225,বশরওয়াযন,বশরওয়াযন,,BdSLW401,0
226,যশষ্য,যশষ্য,,BdSLW401,0
227,শুভাকাঙ্ক্ষী,শুভাকাঙ্ক্ষী,,BdSLW401,0
228,সহকমী,সহকমী,,BdSLW401,0
229,সহপাঠী,সহপাঠী,বিবিধ (সাধারণ),"BdSLW401, ishaara",5
230,সমবয়সী,সমবয়সী,,BdSLW401,0
231,সম্পকট,সম্পকট,,BdSLW401,0
232,বসানা,বসানা,,BdSLW401,0
233,শত্রু,শত্রু,বিবিধ (সাধারণ),"BdSLW401, ishaara",5
234,বছাগ্নয়টার,বছাগ্নয়টার,,BdSLW401,0
235,টাই,টাই,পোশাক ও ফ্যাশন,"BdSLW401, ishaara",5
236,টটপ,টটপ,,BdSLW401,0
237,ভা়িাগ্নট,ভা়িাগ্নট,,BdSLW401,0
238,আেঁচল,আেঁচল,,BdSLW401,0
239,আলনা,আলনা,বিবিধ (সাধারণ),"BdSLW401, ishaara",5
240,আগ্নলা,আগ্নলা,,BdSLW401,0
241,বযাগ,বযাগ,,BdSLW401,0
242,বাযলশ,বাযলশ,,BdSLW401,0
243,বােঁযশ,বােঁযশ,,BdSLW401,0
244,বাথ্রুম,বাথ্রুম,,BdSLW401,0
245,বাটট,বাটট,,BdSLW401,0
246,যবছা,যবছা,,BdSLW401,0
247,যবছানা,যবছানা,,BdSLW401,0
248,বক্স,বক্স,,BdSLW401,0
249,বেসগ্নলট,বেসগ্নলট,,BdSLW401,0
250,বাল্ব,বাল্ব,,BdSLW401,0
251,বচয়ার,বচয়ার,,BdSLW401,0
252,চামচ,চামচ,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
253,ছাতা,ছাতা,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
254,চুগ্নলর বযান্ড,চুগ্নলর বযান্ড,,BdSLW401,0
255,বকাট,বকাট,,BdSLW401,0
256,কাপ,কাপ,খাদ্য ও পানীয় (সাধারণ),"BdSLW401, ishaara",5
257,ধুযত,ধুযত,,BdSLW401,0
258,দরজা,দরজা,বিবিধ (সাধারণ),"BdSLW401, ishaara",5
259,ফযান,ফযান,,BdSLW401,0
260,হুক,হুক,,BdSLW401,0
261,জযাগ্নকট,জযাগ্নকট,,BdSLW401,0
262,জানালা,জানালা,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
263,জাঙযগয়া,জাঙযগয়া,,BdSLW401,0
264,স্তজন্স,স্তজন্স,,BdSLW401,0
265,জাযস ট,জাযস ট,,BdSLW401,0
266,ঝু য়ি,ঝু য়ি,,BdSLW401,0
267,কােঁযচ,কােঁযচ,,BdSLW401,0
268,কাযমজ,কাযমজ,,BdSLW401,0
269,কােঁটাচামচ,কােঁটাচামচ,,BdSLW401,0
270,বখােঁপা,বখােঁপা,,BdSLW401,0
271,বখােঁপার কােঁটা,বখােঁপার কােঁটা,,BdSLW401,0
272,খ়িম,খ়িম,,BdSLW401,0
273,লগ্নকট,লগ্নকট,,BdSLW401,0
274,মাফলার,মাফলার,পোশাক ও ফ্যাশন,"BdSLW401, ishaara",5
275,বমা়িা,বমা়িা,,BdSLW401,0
276,মশায়ি,মশায়ি,,BdSLW401,0
277,নাকফু ল,নাকফু ল,,BdSLW401,0
278,নাইটট,নাইটট,,BdSLW401,0
279,বনালক,বনালক,,BdSLW401,0
280,নুপুর,নুপুর,,BdSLW401,0
281,পাগয়ি,পাগয়ি,,BdSLW401,0
282,বেট,বেট,,BdSLW401,0
283,বরইনগ্নকাট,বরইনগ্নকাট,,BdSLW401,0
284,সাগ্নলায়ার,সাগ্নলায়ার,,BdSLW401,0
285,স্কাফট,স্কাফট,,BdSLW401,0
286,বসযমজ,বসযমজ,,BdSLW401,0
287,সানলাস,সানলাস,,BdSLW401,0
288,সুতা,সুতা,ক্রিয়া ও অবস্থা,"BdSLW401, ishaara",5
289,বটযবল,বটযবল,,BdSLW401,0
290,বটযলগ্নফান,বটযলগ্নফান,,BdSLW401,0
291,টাইযপন,টাইযপন,,BdSLW401,0
292,টটকযল,টটকযল,,BdSLW401,0
293,টু থ্োস,টু থ্োস,,BdSLW401,0
294,টু থ্গ্ন পি,টু থ্গ্ন পি,,BdSLW401,0
295,টটশাটট,টটশাটট,,BdSLW401,0
296,টটউবলাইট,টটউবলাইট,,BdSLW401,0
297,টটযভ,টটযভ,,BdSLW401,0
298,এযস,এযস,,BdSLW401,0
299,অযাপাটটগ্নমন্ট,অযাপাটটগ্নমন্ট,,BdSLW401,0
300,অযডও কযাগ্নসট,অযডও কযাগ্নসট,,BdSLW401,0
301,আয়না,আয়না,,BdSLW401,0
302,বালযত,বালযত,,BdSLW401,0
303,বালু,বালু,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
304,বব়িার ঘর,বব়িার ঘর,,BdSLW401,0
305,ববযসন,ববযসন,,BdSLW401,0
306,যবছানার চাদর,যবছানার চাদর,,BdSLW401,0
307,বদনা,বদনা,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
308,বুকগ্নশল্ভ,বুকগ্নশল্ভ,,BdSLW401,0
309,যেফগ্নকস,যেফগ্নকস,,BdSLW401,0
310,কয লাং ববল,কয লাং ববল,,BdSLW401,0
311,কযাগ্নসট বেয়ার,কযাগ্নসট বেয়ার,,BdSLW401,0
312,চাদ,চাদ,,BdSLW401,0
313,ছাকু যন,ছাকু যন,,BdSLW401,0
314,চুলা,চুলা,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
315,দালান,দালান,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
316,বদয়াল,বদয়াল,,BdSLW401,0
317,ইট,ইট,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
318,এগ্নলাগ্নমগ্নলা,এগ্নলাগ্নমগ্নলা,,BdSLW401,0
319,যিজ,যিজ,,BdSLW401,0
320,িাই পযান,িাই পযান,,BdSLW401,0
321,ফু লদাযন,ফু লদাযন,,BdSLW401,0
322,গাযলচা,গাযলচা,,BdSLW401,0
323,গামছা,গামছা,সৌন্দর্য ও সাজসজ্জা,"BdSLW401, ishaara",5
324,ইযস্ত্র,ইযস্ত্র,,BdSLW401,0
325,ঝা়িু,ঝা়িু,,BdSLW401,0
326,জগ,জগ,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
327,কােঁথ্া,কােঁথ্া,,BdSLW401,0
328,বকটযল,বকটযল,,BdSLW401,0
329,কক্ খ,কক্ খ,,BdSLW401,0
330,কু য়া,কু য়া,,BdSLW401,0
331,কু গ্ন়ি ঘর,কু গ্ন়ি ঘর,,BdSLW401,0
332,বলপ,বলপ,,BdSLW401,0
333,যলফট,যলফট,,BdSLW401,0
334,মাটটর ঘর,মাটটর ঘর,,BdSLW401,0
335,বমগ্নঝ,বমগ্নঝ,,BdSLW401,0
336,বমামবাযত,বমামবাযত,,BdSLW401,0
337,মগ,মগ,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
338,নলকু প,নলকু প,,BdSLW401,0
339,পাযনর কল,পাযনর কল,,BdSLW401,0
340,পদটা,পদটা,,BdSLW401,0
341,বেসার কু কার,বেসার কু কার,,BdSLW401,0
342,পুকু র,পুকু র,,BdSLW401,0
343,বরযডও,বরযডও,,BdSLW401,0
344,রুমাল,রুমাল,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
345,সাবান,সাবান,ক্রিয়া ও অবস্থা,"BdSLW401, ishaara",5
346,সাজাগ্ননা,সাজাগ্ননা,,BdSLW401,0
347,যসগ্নমন্ট,যসগ্নমন্ট,,BdSLW401,0
348,যসেঁয়ি,যসেঁয়ি,,BdSLW401,0
349,বসাফা,বসাফা,,BdSLW401,0
350,সুটগ্নকস,সুটগ্নকস,,BdSLW401,0
351,সুইস,সুইস,,BdSLW401,0
352,বটযবল লযাম্প,বটযবল লযাম্প,,BdSLW401,0
353,টটগ্ননর ঘর,টটগ্ননর ঘর,,BdSLW401,0
354,টচটলাইট,টচটলাইট,,BdSLW401,0
355,উপকরণ,উপকরণ,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
356,বারান্দা,বারান্দা,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
357,ওয়াযশাং বমযশন,ওয়াযশাং বমযশন,,BdSLW401,0
358,এযাসগ্নে,এযাসগ্নে,,BdSLW401,0
359,বব্লন্ডার,বব্লন্ডার,,BdSLW401,0
360,বটট,বটট,,BdSLW401,0
361,চাকু,চাকু,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
362,যচমযন,যচমযন,,BdSLW401,0
363,যছটযকযন,যছটযকযন,,BdSLW401,0
364,দা,দা,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
365,যদয়াশলাই,যদয়াশলাই,,BdSLW401,0
366,যডটারগ্নজন্ট পাউডার,যডটারগ্নজন্ট পাউডার,,BdSLW401,0
367,দয়ি,দয়ি,,BdSLW401,0
368,যগ্রল,যগ্রল,,BdSLW401,0
369,হযাঙ্গার,হযাঙ্গার,,BdSLW401,0
370,হাযরগ্নকন,হাযরগ্নকন,,BdSLW401,0
371,কম্বল,কম্বল,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
372,কগ্নমাড,কগ্নমাড,,BdSLW401,0
373,করাত,করাত,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
374,মাইগ্নিাওগ্নয়ভ ওগ্নভন,মাইগ্নিাওগ্নয়ভ ওগ্নভন,,BdSLW401,0
375,পাগ্নপাস,পাগ্নপাস,,BdSLW401,0
376,বপগ্নরক,বপগ্নরক,,BdSLW401,0
377,রামদা,রামদা,,BdSLW401,0
378,স্িু,স্িু,,BdSLW401,0
379,টযাাংযক,টযাাংযক,,BdSLW401,0
380,তার,তার,,BdSLW401,0
381,টব,টব,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
382,টয়গ্নলট টটসুয,টয়গ্নলট টটসুয,,BdSLW401,0
383,উঠান,উঠান,,BdSLW401,0
384,আলকাতরা,আলকাতরা,বিবিধ (সাধারণ),"BdSLW401, ishaara",5
385,বােঁশ,বােঁশ,,BdSLW401,0
386,ববলুযন,ববলুযন,,BdSLW401,0
387,বটল,বটল,,BdSLW401,0
388,বয়াম,বয়াম,,BdSLW401,0
389,ছাউনী,ছাউনী,,BdSLW401,0
390,ছয়ি,ছয়ি,,BdSLW401,0
391,চুন,চুন,শাকসব্জি ও রান্নার উপকরণ,"BdSLW401, ishaara",5
392,ঢাকনা,ঢাকনা,গৃহস্থালি সরঞ্জাম,"BdSLW401, ishaara",5
393,বদালনা,বদালনা,,BdSLW401,0
394,বঢাল,বঢাল,,BdSLW401,0
395,ড্রয়ার,ড্রয়ার,,BdSLW401,0
396,ফাইল,ফাইল,সাধারণ প্রশাসন ও সামাজিক,"BdSLW401, ishaara",5
397,ফ্লাস্ক,ফ্লাস্ক,,BdSLW401,0
398,বফাম,বফাম,,BdSLW401,0
399,বফাল্ডার,বফাল্ডার,,BdSLW401,0
400,গামলা,গামলা,,BdSLW401,0
401,ঘগ্নরর খুেঁটট,ঘগ্নরর খুেঁটট,,BdSLW401,0
402,গযদ,গযদ,,BdSLW401,0
403,বগায়াল ঘর,বগায়াল ঘর,,BdSLW401,0
404,হামান যদো,হামান যদো,,BdSLW401,0
405,হােঁয়ি,হােঁয়ি,,BdSLW401,0
406,হাতু য়ি,হাতু য়ি,,BdSLW401,0
407,ঝু ল ঝা়িু,ঝু ল ঝা়িু,,BdSLW401,0
408,জতু ার তাক,জতু ার তাক,,BdSLW401,0
409,কাগ্নে,কাগ্নে,,BdSLW401,0
410,খ়ি,খ়ি,,BdSLW401,0
411,খুযি,খুযি,,BdSLW401,0
412,বকাযকল,বকাযকল,,BdSLW401,0
